geo_code,average,x,y
07060304,0.161,410806.8509948383,4481851.638
07070000,0.136,411681.56589545007,4491952.3423500005
07080101,0.172,407802.9661039727,4503152.933
07080201,0.165,405533.4897994507,4503158.610599999
07090101,0.167,422512.927607314,4510307.939
07090102,0.162,431434.0009382097,4507672.316
07090103,0.162,418701.5511077649,4512895.1922
07090104,0.163,420805.91965629545,4504688.153
07090105,0.168,427122.9384570865,4509314.618450001
07090106,0.176,415703.6680760298,4508187.022700001
07090107,0.166,418505.09961034544,4509946.263
07090108,0.158,423022.4033,4514371.007
07090201,0.141,420093.683461989,4520960.021
07090202,0.165,414535.52625706384,4521899.238
07090301,0.118,432439.3938354546,4519682.964
